time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-08-26 14:30:00,SH000016,上证50,2906.1,1.06,10309257472.0,2,1,1,1,145068116554.55,0.87,0.78,0.9,1.0322,37,13,74.0,124202534528.0,120330445312.0,142891757875.2,,0.02,19.0,4
2026-08-26 14:00:00,SH000906,中证800,5138.09,0.9,52130315264.0,1,1,-1,1,845892078111.13,0.86,0.79,0.89,0.9948,0,0,0.0,666316667392.0,669824622592.0,771792145612.8,,-0.16,8.0,3
2026-08-26 14:00:00,SZ399903,中证100,4471.75,0.97,16794775040.0,1,1,-1,1,260708265492.6,0.85,0.75,0.87,0.9696,75,24,75.76,203597335552.0,209985517568.0,239754629734.4,,-0.05,7.0,3
2026-08-26 14:00:00,SH000300,沪深300,4595.33,0.95,32136651776.0,1,1,-1,1,507860050334.52,0.87,0.79,0.9,0.9989,231,66,77.78,397572117504.0,398015358976.0,457240729600.0,,-0.07,9.0,3
2026-08-26 14:00:00,SH000016,上证50,2906.99,1.09,9871027200.0,1,1,1,1,148273862880.19,0.88,0.81,0.92,1.0183,36,13,73.47,113893277056.0,111848121344.0,129626141491.2,,0.0,18.0,3
2026-08-26 13:30:00,SH000906,中证800,5140.71,0.96,66435255808.0,1,1,-1,1,865313798306.37,0.87,0.73,0.91,1.006,0,0,0.0,614186352128.0,610551316480.0,705491373260.8,,0.26,6.0,3
2026-08-26 13:30:00,SZ399903,中证100,4472.48,0.98,20497635328.0,1,1,-1,1,267895487179.14,0.86,0.69,0.9,0.9857,74,26,74.0,186802560512.0,189520891904.0,217475013222.4,,0.24,5.0,3
2026-08-26 13:30:00,SH000300,沪深300,4596.22,0.97,39895838208.0,1,1,-1,1,519883091168.79,0.88,0.72,0.92,1.0125,231,63,78.57,365435465728.0,360923830272.0,416554950656.0,,0.23,7.0,3
2026-08-26 13:30:00,SH000016,上证50,2903.67,0.98,11554487296.0,1,1,1,1,151851993880.03,0.89,0.73,0.94,1.0195,36,13,73.47,104022249856.0,102027828224.0,117368256307.2,,0.09,16.0,3
2026-08-26 11:30:00,SH000300,沪深300,4600.77,1.07,39296102400.0,1,1,-1,1,547842332354.15,0.9,1.0,0.97,1.0956,232,61,79.18,325539627520.0,297124317184.0,361094352896.0,,0.69,4.0,3
2026-08-26 11:30:00,SZ399903,中证100,4477.72,1.1,20355393280.0,1,1,-1,1,283254072940.83,0.89,0.96,0.95,1.059,76,22,77.55,166304925184.0,157038680064.0,187860646092.8,,0.68,2.0,3
2026-08-26 11:30:00,SH000016,上证50,2905.53,1.04,11269266816.0,1,1,1,1,160222553730.33,0.91,0.98,0.99,1.1143,36,13,73.47,92467762560.0,82984659968.0,101569401446.4,,0.49,14.0,3
2026-08-26 11:30:00,SH000906,中证800,5149.33,1.12,63294231552.0,1,1,-1,1,908060623638.04,0.89,0.98,0.95,1.087,0,0,0.0,547751096320.0,503913922560.0,614387510476.8,,0.82,3.0,3
2026-08-26 11:00:00,SH000906,中证800,5146.48,1.07,111597643776.0,1,-2,-1,1,899777831201.83,0.88,1.18,0.95,1.0719,0,0,0.0,484456864768.0,451977084928.0,549788901376.0,,1.07,-1.0,0
2026-08-26 11:00:00,SH000300,沪深300,4598.36,1.02,67609028096.0,1,1,-1,1,541150262455.83,0.89,1.19,0.95,1.0851,245,53,82.21,286243525120.0,263796240384.0,321853843046.4,,1.02,0.0,3
