time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,composite_signal
2026-01-15 11:30:00,SH000905,中证500,8166.867,-0.74,40720928256.0,-1,-1,1,-1,580796158840.01,0.88,0.74,0.85,0.8176,193,293,39.71,392439559168.0,479983517696.0,447027095142.4,,-3
2026-01-15 11:30:00,SZ399673,创业50,3463.87,-1.11,15215056896.0,-2,-1,-1,-1,211166272383.22,0.79,0.65,0.77,0.774,0,0,0.0,141117224960.0,182323066880.0,179245681459.2,,-4
2026-01-15 11:30:00,SH000699,科创200,1482.83,-2.35,5695908352.0,-2,-1,1,-1,79460358358.46,0.79,0.65,0.76,0.8159,0,0,0.0,52533787904.0,64384757760.0,66169315737.6,,-4
2026-01-15 11:30:00,SH000688,科创50,1472.92,-1.86,5539506176.0,-1,-1,1,-1,83458128908.85,0.79,0.72,0.79,0.7169,158,438,26.51,52732075776.0,73554119680.0,66822926643.2,,-3
2026-01-15 11:30:00,SH000852,中证1000,8166.044,-1.1,43527030784.0,-2,-1,1,-1,631557977525.45,0.86,0.68,0.82,0.8289,316,657,32.48,418339958784.0,504684863488.0,488612391321.6,,-4
2026-01-15 11:30:00,SZ399330,深证100,5909.51,-0.28,19373709568.0,-2,-1,-1,-1,252703187557.42,0.78,0.71,0.76,0.7796,846,2002,29.71,163224653312.0,209361360896.0,208057396019.2,,-4
2026-01-15 11:30:00,SZ399850,深证50,9190.538,-0.5,12868023040.0,-2,-2,-1,-1,162672373313.33,0.77,0.73,0.76,0.7255,19,31,38.0,101803078656.0,140314200064.0,131583235481.6,,-5
2026-01-15 11:30:00,SZ399303,国证2000,10722.199,-1.46,66158123520.0,-2,-1,1,-1,949448805289.82,0.86,0.7,0.83,0.8397,0,0,0.0,623720778240.0,742748340224.0,722864563814.4,,-4
2026-01-15 11:30:00,SZ399019,创业200,5034.17,-2.05,13959555072.0,-1,-1,1,-1,196009125990.81,0.83,0.66,0.79,0.7564,0,0,0.0,132865861120.0,175645321216.0,160636560588.8,,-3
2026-01-15 11:00:00,SH000688,科创50,1476.72,-1.61,8032882944.0,-1,-1,1,-1,85905673784.34,0.8,0.78,0.82,0.7272,173,419,29.22,47192569600.0,64896109568.0,59176992563.2,,-3
2026-01-15 11:00:00,SZ399019,创业200,5057.63,-1.59,17911590144.0,-1,-1,1,-1,207036502060.24,0.85,0.72,0.83,0.7716,0,0,0.0,118906306048.0,154110437376.0,139359211110.4,,-3
2026-01-15 11:00:00,SH000699,科创200,1490.01,-1.87,7000158336.0,-1,-1,1,-1,83517331635.98,0.82,0.72,0.8,0.8404,0,0,0.0,46837879552.0,55732003840.0,57342025523.2,,-3
2026-01-15 11:00:00,SH000852,中证1000,8190.844,-0.8,55462449152.0,-1,-1,1,-1,668875913575.63,0.88,0.76,0.87,0.8421,347,630,35.52,374812928000.0,445102571520.0,424137057075.2,,-3
2026-01-15 11:00:00,SZ399673,创业50,3470.65,-0.92,18426414592.0,-2,-1,-1,-1,221702520561.17,0.81,0.71,0.8,0.7885,0,0,0.0,125902168064.0,159676553216.0,155870294425.6,,-4
2026-01-15 11:00:00,SZ399005,中小100,8766.309,0.22,17902317824.0,-1,-1,1,-1,190795484434.15,0.78,0.8,0.77,0.7579,0,0,0.0,110177130752.0,145366265856.0,141555516620.8,,-3
2026-01-15 11:00:00,SH000905,中证500,8186.998,-0.49,51866670592.0,-1,-1,1,-1,605716845088.11,0.9,0.81,0.88,0.8249,198,286,40.91,351718630912.0,426379452416.0,391783596032.0,,-3
2026-01-15 11:00:00,SZ399330,深证100,5918.78,-0.12,23724106496.0,-2,-1,-1,-1,258521575967.95,0.8,0.73,0.78,0.7961,912,1934,32.04,143850943744.0,180689395712.0,180821478604.8,,-4
2026-01-15 11:00:00,SZ399303,国证2000,10757.779,-1.13,82889576448.0,-1,-1,1,-1,997564316830.27,0.89,0.77,0.87,0.8565,0,0,0.0,557562654720.0,650985193472.0,628524077875.2,,-3
2026-01-15 11:00:00,SZ399850,深证50,9202.439,-0.37,14853877248.0,-2,-2,-1,-1,165055539541.07,0.78,0.74,0.78,0.7399,20,30,40.0,88935055616.0,120203104256.0,113973920768.0,,-5
2026-01-15 11:00:00,SH000698,科创100,1613.75,-1.31,7249174400.0,-1,-1,1,-1,74854153025.46,0.82,0.81,0.81,0.7995,32,66,32.65,42115125376.0,52674555904.0,51202693939.2,,-3
2026-01-15 10:30:00,SZ399673,创业50,3463.31,-1.13,35817856000.0,-1,-1,-1,-1,234914203485.88,0.83,0.91,0.85,0.824,0,0,0.0,107475753472.0,130424463360.0,129849060556.8,,-3
2026-01-15 10:30:00,SH000699,科创200,1487.57,-2.04,12705735296.0,-1,-1,1,-1,87657738811.24,0.84,0.85,0.84,0.901,0,0,0.0,39837721216.0,44215335936.0,47638322790.4,,-3
2026-01-15 10:30:00,SH000698,科创100,1610.5,-1.51,10442515456.0,-1,-1,1,-1,74659582260.08,0.82,0.75,0.81,0.8316,29,68,29.9,34865950976.0,41925240832.0,42275895705.6,,-3
2026-01-15 10:30:00,SH000852,中证1000,8194.936,-0.75,99476592640.0,-1,-1,1,-1,711195222498.51,0.91,0.96,0.92,0.8794,360,605,37.31,319350478848.0,363156881408.0,351089203609.6,,-3
2026-01-15 10:30:00,SZ399850,深证50,9173.838,-0.68,24467533056.0,-1,-2,-1,-1,168609010612.8,0.79,0.8,0.79,0.7692,17,33,34.0,74081178368.0,96306352128.0,93965764198.4,,-4
2026-01-15 10:30:00,SH000688,科创50,1468.79,-2.14,14496405504.0,-1,-1,1,-1,87891021344.29,0.8,0.93,0.84,0.7359,156,437,26.31,39159686656.0,53216737280.0,48880539033.6,,-3
2026-01-15 10:30:00,SZ399019,创业200,5053.91,-1.67,31371837184.0,-1,-1,1,-1,220721376416.67,0.88,0.91,0.89,0.8015,0,0,0.0,100994715904.0,126001983488.0,114605515571.2,,-3
